frame,timestamp_sec,Cheetah,Crocodile,Deer,Elephant,Leopard,Squirrel,Tiger,Zebra
210,3.5,,,,3,,,,
211,3.52,,,,3,,,,
212,3.53,,,,3,,,,
213,3.55,,,,3,,,,
214,3.57,,,,3,,,,
215,3.58,,,,4,,,,
216,3.6,,,,4,,,,
217,3.62,,,,4,,,,
218,3.63,,,,3,,,,
219,3.65,,,,3,,,,
220,3.67,,,,4,,,,
221,3.68,,,,4,,,,
222,3.7,,,,4,,,,
223,3.72,,,,4,,,,
224,3.73,,,,4,,,,
225,3.75,,,,5,,,,
226,3.77,,,,5,,,,
227,3.78,,,,2,,,,
228,3.8,,,,2,,,,
229,3.82,,,,2,,,,
230,3.83,,,,3,,,,
231,3.85,,,,3,,,,
232,3.87,,,,2,,,,
233,3.88,,,,2,,,,
234,3.9,,,,2,,,,
235,3.92,,,,3,,,,
236,3.93,,,,3,,,,
237,3.95,,,,3,,,,
238,3.97,,,,3,,,,
239,3.98,,,,4,,,,
240,4.0,,,,4,,,,
241,4.02,,,,4,,,,
242,4.03,,,,5,,,,
243,4.05,,,,5,,,,
244,4.07,,,,4,,,,
245,4.08,,,,4,,,,
246,4.1,,,,4,,,,
247,4.12,,,,4,,,,
248,4.13,,,,4,,,,
249,4.15,,,,4,,,,
250,4.17,,,,4,,,,
251,4.18,,,,3,,,,
252,4.2,,,,3,,,,
253,4.22,,,,3,,,,
254,4.23,,,,3,,,,
255,4.25,,,,3,,,,
256,4.27,,,,4,,,,
257,4.28,,,,4,,,,
258,4.3,,,,4,,,,
259,4.32,,,,4,,,,
260,4.33,,,,4,,,,
261,4.35,,,,3,,,,
262,4.37,,,,3,,,,
263,4.38,,,,2,,,,
264,4.4,,,,2,,,,
265,4.42,,,,2,,,,
266,4.43,,,,4,,,,
267,4.45,,,,4,,,,
268,4.47,,,,4,,,,
269,4.48,,,,4,,,,
270,4.5,,,,4,,,,
271,4.52,,,,3,,,,
272,4.53,,,,4,,,,
273,4.55,,,,5,,,,
274,4.57,,,,4,,,,
275,4.58,,,,4,,,,
276,4.6,,,,4,,,,
277,4.62,,,,3,,,,
278,4.63,,,,3,,,,
279,4.65,,,,3,,,,
280,4.67,,,,2,,,,
281,4.68,,,,2,,,,
282,4.7,,,,2,,,,
283,4.72,,,,3,,,,
284,4.73,,,,3,,,,
285,4.75,,,,3,,,,
286,4.77,,,,3,,,,
287,4.78,,,,3,,,,
288,4.8,,,,3,,,,
289,4.82,,,,3,,,,
290,4.83,,,,4,,,,
291,4.85,,,,4,,,,
292,4.87,,,,4,,,,
293,4.88,,,,5,,,,
294,4.9,,,,5,,,,
295,4.92,,,,5,,,,
296,4.93,,,,5,,,,
297,4.95,,,,5,,,,
298,4.97,,,,5,,,,
299,4.98,,,,5,,,,
300,5.0,,,,5,,,,
301,5.02,,,,4,,,,
302,5.03,,,,4,,,,
303,5.05,,,,5,,,,
304,5.07,,,,6,,,,
305,5.08,,,,6,,,,
306,5.1,,,,6,,,,
307,5.12,,,,6,,,,
308,5.13,,,,6,,,,
309,5.15,,,,6,,,,
310,5.17,,,,6,,,,
311,5.18,,,,5,,,,
312,5.2,,,,5,,,,
313,5.22,,,,5,,,,
314,5.23,,,,5,,,,
315,5.25,,,,5,,,,
316,5.27,,,,5,,,,
317,5.28,,,,5,,,,
318,5.3,,,,5,,,,
319,5.32,,,,5,,,,
320,5.33,,,,5,,,,
321,5.35,,,,5,,,,
322,5.37,,,,5,,,,
323,5.38,,,,4,,,,
324,5.4,,,,4,,,,
325,5.42,,,,4,,,,
326,5.43,,,,4,,,,
327,5.45,,,,4,,,,
328,5.47,,,,5,,,,
329,5.48,,,,5,,,,
330,5.5,,,,5,,,,
331,5.52,,,,5,,,,
332,5.53,,,,5,,,,
333,5.55,,,,4,,,,
334,5.57,,,,4,,,,
335,5.58,,,,4,,,,
336,5.6,,,,4,,,,
337,5.62,,,,5,,,,
338,5.63,,,,5,,,,
339,5.65,,,,6,,,,
340,5.67,,,,5,,,,
341,5.68,,,,5,,,,
342,5.7,,,,5,,,,
343,5.72,,,,4,,,,
344,5.73,,,,4,,,,
345,5.75,,,,3,,,,
346,5.77,,,,4,,,,
347,5.78,,,,5,,,,
348,5.8,,,,5,,,,
349,5.82,,,,5,,,,
350,5.83,,,,5,,,,
351,5.85,,,,5,,,,
352,5.87,,,,5,,,,
353,5.88,,,,5,,,,
354,5.9,,,,5,,,,
355,5.92,,,,5,,,,
356,5.93,,,,5,,,,
357,5.95,,,,5,,,,
358,5.97,,,,5,,,,
359,5.98,,,,5,,,,
360,6.0,,,,5,,,,
361,6.02,,,,5,,,,
362,6.03,,,,4,,,,
363,6.05,,,,4,,,,
364,6.07,,,,3,,,,
365,6.08,,,,3,,,,
366,6.1,,,,2,,,,
367,6.12,,,,2,,,,
368,6.13,,,,2,,,,
369,6.15,,,,3,,,,
370,6.17,,,,3,,,,
371,6.18,,,,3,,,,
372,6.2,,,,3,,,,
373,6.22,,,,3,,,,
374,6.23,,,,3,,,,
375,6.25,,,,3,,,,
376,6.27,,,,3,,,,
377,6.28,,,,3,,,,
378,6.3,,,,3,,,,
379,6.32,,,,4,,,,
380,6.33,,,,4,,,,
381,6.35,,,,3,,,,
382,6.37,,,,3,,,,
384,6.4,,,,,,,1,
385,6.42,,,,,,,1,
386,6.43,,,,,,,1,
387,6.45,,,,,,,1,
388,6.47,,,,,,,1,
389,6.48,,,,,,,1,
390,6.5,,,,,,,1,
391,6.52,,,,,,,1,
392,6.53,,,,,,,1,
393,6.55,,,,,,,1,
394,6.57,,,,,,,1,
399,6.65,,,,,,,1,
400,6.67,,,,,,,1,
401,6.68,,,,,,,1,
402,6.7,,,,,,,1,
403,6.72,,,,,,,1,
404,6.73,,,,,,,1,
405,6.75,,,,,,,1,
406,6.77,,,,,,,1,
407,6.78,,,,,,,1,
408,6.8,,,,,,,1,
409,6.82,,,,,,,1,
410,6.83,,,,,,,1,
411,6.85,,,,,,,1,
412,6.87,,,,,,,1,
413,6.88,,,,,,,1,
414,6.9,,,,,,,1,
415,6.92,,,,,,,1,
416,6.93,,,,,,,1,
417,6.95,,,,,,,1,
418,6.97,,,,,,,1,
419,6.98,,,,,,,1,
420,7.0,,,,,,,1,
421,7.02,,,,,,,1,
422,7.03,,,,,,,1,
423,7.05,,,,,,,1,
424,7.07,,,,,,,1,
425,7.08,,,,,,,1,
426,7.1,,,,,,,1,
427,7.12,,,,,,,1,
428,7.13,,,,,,,1,
429,7.15,,,,,,,1,
430,7.17,,,,,,,1,
431,7.18,,,,,,,1,
432,7.2,,,,,,,1,
433,7.22,,,,,,,1,
434,7.23,,,,,,,1,
435,7.25,,,,,,,1,
436,7.27,,,,,,,1,
437,7.28,,,,,,,1,
438,7.3,,,,,,,1,
439,7.32,,,,,,,1,
440,7.33,,,,,,,1,
441,7.35,,,,,,,1,
442,7.37,,,,,,,1,
443,7.38,,,,,,,1,
444,7.4,,,,,,,1,
445,7.42,,,,,,,1,
446,7.43,,,,,,,1,
447,7.45,,,,,,,1,
448,7.47,,,,,,,1,
449,7.48,,,,,,,1,
450,7.5,,,,,,,1,
458,7.63,,,,,,,1,
459,7.65,,,,,,,1,
467,7.78,,,,,,,1,
468,7.8,,,,,,,1,
469,7.82,,,,,,,1,
472,7.87,,,,,,,1,
473,7.88,,,,,,,1,
474,7.9,,,,,,,1,
484,8.07,,,,,,,1,
485,8.08,,,,,,,1,
486,8.1,,,,,,,1,
487,8.12,,,,,,,1,
488,8.13,,,,,,,1,
519,8.65,,,,,,,1,
520,8.67,,,,,,,,1
521,8.68,,,,,,,,1
522,8.7,,,,,,,,1
523,8.72,,,,,,,,1
524,8.73,,,,,,,,1
525,8.75,,,,,,,,1
526,8.77,,,,,,,,1
527,8.78,,,,,,,,1
528,8.8,,,,,,,,1
529,8.82,,,,,,,,1
530,8.83,,,,,,,1,
531,8.85,,,,,,,1,
535,8.92,,,,,,,1,
536,8.93,,,,,,,1,
537,8.95,,,,,,,1,
538,8.97,,,,,,,1,
539,8.98,,,,,,,1,
540,9.0,,,,,,,1,
541,9.02,,,,,,,1,
542,9.03,,,,,,,1,
543,9.05,,,,,,,1,
544,9.07,,,,,,,1,
545,9.08,,,,,,,1,
546,9.1,,,,,,,1,
548,9.13,,,,,,,1,
549,9.15,,,,,,,1,
550,9.17,,,,,,,1,
561,9.35,,,,,,,,1
562,9.37,,,,,,,,1
566,9.43,,,,,,,1,
567,9.45,,,,,,,1,
594,9.9,,,,,,1,,
595,9.92,,,,,,1,,
601,10.02,,,,,,1,,
602,10.03,,,,,,1,,
629,10.48,,,,,,1,,
630,10.5,,,,,,1,,
631,10.52,,,,,,1,,
666,11.1,,,,,,,1,
667,11.12,,,,,,,1,
668,11.13,,,,,,,1,
669,11.15,,,,,,,1,
718,11.97,,1,,,,,,
724,12.07,,1,,,,,,
725,12.08,,1,,,,,,
799,13.32,1,,,,,,,
800,13.33,1,,,,,,,
801,13.35,1,,,,,,,
802,13.37,1,,,,1,,,
803,13.38,1,,,,1,,,
804,13.4,1,,,,1,,,
805,13.42,1,,,,1,,,
807,13.45,1,,,,,,,
808,13.47,1,,,,,,,
809,13.48,1,,,,,,,
810,13.5,1,,,,,,,
811,13.52,1,,,,,,,
812,13.53,1,,,,,,,
813,13.55,1,,,,,,,
814,13.57,1,,,,,,,
815,13.58,1,,,,,,,
816,13.6,1,,,,,,,
817,13.62,1,,,,,,,
818,13.63,1,,,,,,,
819,13.65,1,,,,,,,
820,13.67,1,,,,,,,
821,13.68,1,,,,,,,
822,13.7,1,,,,,,,
823,13.72,1,,,,,,,
824,13.73,1,,,,,,,
825,13.75,1,,,,,,,
826,13.77,1,,,,,,,
827,13.78,1,,,,,,,
828,13.8,1,,,,,,,
829,13.82,1,,,,1,,,
830,13.83,1,,,,,,,
831,13.85,1,,,,,,,
832,13.87,1,,,,,,,
833,13.88,1,,,,,,,
834,13.9,1,,,,,,,
835,13.92,1,,,,,,,
836,13.93,1,,,,,,,
837,13.95,1,,,,,,,
838,13.97,1,,,,,,,
839,13.98,1,,,,,,,
840,14.0,1,,,,1,,,
841,14.02,1,,,,1,,,
842,14.03,1,,,,,,,
843,14.05,1,,,,,,,
844,14.07,1,,,,,,,
845,14.08,1,,,,1,,,
846,14.1,1,,,,1,,,
847,14.12,1,,,,,,,
848,14.13,1,,,,,,,
849,14.15,1,,,,,,,
850,14.17,1,,,,,,,
851,14.18,1,,,,,,,
852,14.2,1,,,,,,,
853,14.22,1,,,,,,,
854,14.23,1,,,,,,,
855,14.25,1,,,,,,,
856,14.27,,,,,1,,,
857,14.28,,,,,1,,,
858,14.3,,,,,1,,,
861,14.35,1,,,,1,,,
862,14.37,1,,,,1,,,
863,14.38,1,,,,1,,,
864,14.4,1,,,,1,,,
865,14.42,1,,,,1,,,
866,14.43,1,,,,1,,,
867,14.45,1,,,,1,,,
868,14.47,,,,,1,,,
869,14.48,,,,,1,,,
870,14.5,,,,,1,,,
871,14.52,1,,,,,,,
872,14.53,1,,,,,,,
873,14.55,1,,,,,,,
874,14.57,1,,,,,,,
875,14.58,1,,,,,,,
876,14.6,1,,,,,,,
877,14.62,1,,,,1,,,
879,14.65,1,,,,,,,
880,14.67,1,,,,,,,
881,14.68,1,,,,,,,
882,14.7,1,,,,,,,
883,14.72,1,,,,,,,
884,14.73,1,,,,1,,,
886,14.77,1,,,,,,,
887,14.78,1,,,,,,,
888,14.8,1,,,,,,,
889,14.82,1,,,,1,,,
890,14.83,1,,,,1,,,
891,14.85,1,,,,1,,,
892,14.87,1,,,,1,,,
893,14.88,1,,,,1,,,
894,14.9,1,,,,1,,,
895,14.92,1,,,,1,,,
896,14.93,1,,,,1,,,
897,14.95,1,,,,1,,,
898,14.97,1,,,,1,,,
899,14.98,1,,,,1,,,
900,15.0,1,,,,1,,,
901,15.02,1,,,,1,,,
902,15.03,1,,,,1,,,
903,15.05,1,,,,1,,,
904,15.07,1,,,,,,,
905,15.08,1,,,,,,,
906,15.1,1,,,,,,,
907,15.12,1,,,,,,,
908,15.13,1,,,,,,,
909,15.15,1,,,,,,,
910,15.17,1,,,,,,,
911,15.18,1,,,,,,,
912,15.2,1,,,,,,,
913,15.22,1,,,,1,,,
915,15.25,1,,,,,,,
916,15.27,1,,,,,,,
917,15.28,1,,,,,,,
918,15.3,1,,,,,,,
919,15.32,1,,,,,,,
920,15.33,1,,,,,,,
921,15.35,1,,,,,,,
922,15.37,1,,,,,,,
923,15.38,1,,,,,,,
924,15.4,1,,,,,,,
925,15.42,1,,,,,,,
926,15.43,1,,,,,,,
927,15.45,1,,,,1,,,
928,15.47,1,,,,1,,,
929,15.48,1,,,,1,,,
930,15.5,1,,,,1,,,
931,15.52,1,,,,1,,,
932,15.53,1,,,,1,,,
933,15.55,1,,,,1,,,
934,15.57,1,,,,1,,,
935,15.58,1,,,,1,,,
936,15.6,1,,,,1,,,
937,15.62,1,,,,1,,,
939,15.65,1,,,,,,,
940,15.67,1,,,,1,,,
941,15.68,1,,,,1,,,
942,15.7,1,,,,1,,,
943,15.72,1,,,,1,,,
944,15.73,1,,,,1,,,
945,15.75,1,,,,1,,,
946,15.77,1,,,,1,,,
